id,listing_url,name,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,Days Available,Daily Rate,Occupancy,Days Rent,Revenue,Amenities ,Corrected Amenities,24-hour check-in,Accessible-height bed,Accessible-height toilet,Air conditioning,Baby bath,Babysitter recommendations,Bar,Bathroom essentials,Bathtub,Bathtub with bath chair,BBQ grill,Beach essentials,Beachfront,Bed linens,Breakfast,Building staff,Buzzer/wireless intercom,Cable TV,Carbon monoxide detector,Changing table,Children's books and toys,Children's dinnerware,Cleaning before checkout,Coffee maker,Cooking basics,Crib,Disabled parking spot,Dishes and silverware,Dishwasher,Doorman,Dryer,Elevator,Essentials,Ethernet connection,EV charger,Extra pillows and blankets,Extra space around bed,Family/kid friendly,Fire extinguisher,Fireplace guards,First aid kit,Fixed grab bars for shower,Fixed grab bars for toilet,Flat path to guest entrance,Free parking on premises,Free street parking,Game console,Garden or backyard,Gym,Hair dryer,Handheld shower head,Hangers,Heating,High chair,Host greets you,Hot tub,Hot water,Indoor fireplace,Internet,Iron,Kitchen,Lake access,Laptop friendly workspace,Lock on bedroom door,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,No stairs or steps to enter,Other,Outlet covers,Oven,Pack n Play/travel crib,Paid parking on premises,Parking,Patio or balcony,Pets allowed,Pets live on this property,Pocket wifi,Pool,Private entrance,Private living room,Refrigerator,Roll-in shower,Room-darkening shades,Safe,Safety card,Self check-in,Shampoo,Shower chair,Single level home,Smart lock,Smoke detector,Smoking allowed,Spa,Stair gates,Stove,Suitable for events,toilet,TV,Washer,Waterfront,Well-lit path to entrance,Wheelchair accessible,Wide clearance to shower,Wide doorway to guest bathroom,Wide entrance,Wide entrance for guests,Wide entryway,Wide hallways,Wifi,Window guards,No of Features
10466090,https://www.airbnb.com/rooms/10466090,THE GOLF HOUSE,-34.11066,18.83816,House,Entire home/apt,6,2.5,4,6,Real Bed,2605,0,350,5,88,355,159,0.37,131.35,20771,"{TV,""Cable TV"",Wifi,""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Children’s books and toys"",Crib,""Children’s dinnerware"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Long term stays allowed""}","{TV,""Cable TV"",Wifi,""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Children's books and toys"",Crib,""Children's dinnerware"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Long term stays allowed""}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,35
36163728,https://www.airbnb.com/rooms/36163728,"Airy, stylish apartment with balcony in Strand",-34.11005,18.83889,Apartment,Entire home/apt,4,2,2,2,Real Bed,700,,,3,93,20,34,0.70,14,469,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}","{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,18
13403511,https://www.airbnb.com/rooms/13403511,"The Lodge, charming guesthouse/house @ Strand.",-34.11168,18.83698,Villa,Private room,16,9.5,9,16,Real Bed,595,,,4,80,335,50,0.22,73.7,3615,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Free parking on premises"",Breakfast,""Hot tub"",""Indoor fireplace"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}","{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Free parking on premises"",Breakfast,""Hot tub"",""Indoor fireplace"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,26
36861701,https://www.airbnb.com/rooms/36861701,Trust Lodging No. 2,-34.11163,18.83408,Guest suite,Entire home/apt,4,1,1,4,Real Bed,1206,0,0,0,,55,40,0.09,4.95,198,"{TV,Wifi,""Free parking on premises"",Heating,""Family/kid friendly"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}","{TV,Wifi,""Free parking on premises"",Heating,""Family/kid friendly"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27
24531114,https://www.airbnb.com/rooms/24531114,Anne of Windy Willows,-34.11145,18.83216,House,Private room,2,1.5,1,2,Real Bed,804,0,0,0,,349,58,0.81,282.69,16445,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,""Free street parking"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Crib,""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Cooking basics"",Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Wide entrance"",""Accessible-height bed"",""Wide doorway to guest bathroom"",""Wide clearance to shower, toilet""}","{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,""Free street parking"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Crib,""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Cooking basics"",Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Wide entrance"",""Accessible-height bed"",""Wide doorway to guest bathroom"",""Wide clearance to shower, toilet""}",0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,35
21352683,https://www.airbnb.com/rooms/21352683,Mills Cottage,-34.11213,18.83206,Cottage,Entire home/apt,4,1,2,3,Real Bed,1206,1500,350,3,100,119,80,0.25,29.75,2412,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}","{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,32
21016825,https://www.airbnb.com/rooms/21016825,5 Private bedrooms all on-suite in guest house,-34.11234,18.83247,Guesthouse,Private room,2,5,5,2,Real Bed,670,0,0,2,100,31,52,0.03,0.93,52,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Hot water"",Refrigerator,""BBQ grill"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}","{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Hot water"",Refrigerator,""BBQ grill"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,31
24531108,https://www.airbnb.com/rooms/24531108,Anne of Green Gables with en-suite,-34.11124,18.83073,Bed and breakfast,Hotel room,2,1.5,1,1,Real Bed,804,0,0,1,100,282,58,0.88,248.16,14385,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Pets allowed"",Breakfast,Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Bed linens"",""Extra pillows and blankets""}","{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Pets allowed"",Breakfast,Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Bed linens"",""Extra pillows and blankets""}",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,22
16063732,https://www.airbnb.com/rooms/16063732,Sea Spray Cottage,-34.11113,18.83009,Apartment,Entire home/apt,2,1,0,1,Real Bed,953,2500,0,0,,116,69,0.07,8.12,6,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",Crib,""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Cleaning before checkout"",""No stairs or steps to enter"",""Well-lit path to entrance""}","{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",Crib,""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Cleaning before checkout"",""No stairs or steps to enter"",""Well-lit path to entrance""}",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,36
15991870,https://www.airbnb.com/rooms/15991870,De'Vine Loft is a cozy and romantic space,-34.11143,18.83012,Loft,Entire home/apt,2,1,0,2,Real Bed,953,2500,0,1,100,98,67,0.11,10.78,738,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove}","{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18
35361528,https://www.airbnb.com/rooms/35361528,Rustic Gem - Loft Apartment,-34.11105,18.82955,Loft,Entire home/apt,4,2,2,2,Real Bed,595,1500,0,1,80,58,94,0.34,19.72,1889,"{TV,Wifi,Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Indoor fireplace"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Private entrance""}","{TV,Wifi,Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Indoor fireplace"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Private entrance""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14
27864919,https://www.airbnb.com/rooms/27864919,Cape dutch home.,-34.11149,18.82944,House,Entire home/apt,5,2,3,3,Real Bed,893,0,200,1,80,11,65,0.45,4.95,324,"{Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Washer,Dryer,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Game console"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""No stairs or steps to enter"",""Wide entrance for guests"",""Accessible-height bed"",Other}","{Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Washer,Dryer,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Game console"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""No stairs or steps to enter"",""Wide entrance for guests"",""Accessible-height bed"",Other}",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,28
20891582,https://www.airbnb.com/rooms/20891582,The Reeds Cottage,-34.11204,18.82994,Bungalow,Entire home/apt,3,1,1,2,Real Bed,432,0,100,25,97,134,33,0.46,61.64,1998,"{Wifi,Kitchen,""Free parking on premises"",Breakfast,Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Host greets you""}","{Wifi,Kitchen,""Free parking on premises"",Breakfast,Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Host greets you""}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20
16485116,https://www.airbnb.com/rooms/16485116,"Home is where the Hart is, Tranquility",-34.11175,18.82867,Guest suite,Private room,2,1,1,1,Real Bed,953,,,0,,39,63,0.54,21.06,1321,"{TV,Wifi,""Pets live on this property"",Dog(s),Cat(s),""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Room-darkening shades"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Handheld shower head""}","{TV,Wifi,""Pets live on this property"",Dog(s),Cat(s),""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Room-darkening shades"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Handheld shower head""}",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,23
168566,https://www.airbnb.com/rooms/168566,Comfortable and easily accessible,-34.11119,18.82884,Bungalow,Entire home/apt,2,1,1,1,Real Bed,447,700,120,0,,30,39,0.03,0.9,39,"{Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Washer,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","{Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Washer,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
30386592,https://www.airbnb.com/rooms/30386592,Strand Holiday Home close to Main Beach,-34.11124,18.82863,House,Entire home/apt,6,3,3,4,Real Bed,1474,2500,0,0,,31,94,0.52,16.12,1504,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",""Indoor fireplace"",Heating,Washer,""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Cleaning before checkout"",""Wide hallways"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Disabled parking spot""}","{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",""Indoor fireplace"",Heating,Washer,""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Cleaning before checkout"",""Wide hallways"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Disabled parking spot""}",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,34
15104594,https://www.airbnb.com/rooms/15104594,Apartment with Private Entrance and Secure Parking,-34.11077,18.82802,Apartment,Entire home/apt,6,1.5,3,4,Real Bed,595,,,32,99,348,30,0.91,316.68,9569,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Garden or backyard"",""Host greets you""}","{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Garden or backyard"",""Host greets you""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24
15201911,https://www.airbnb.com/rooms/15201911,"Peaceful, self-catering loft apartment",-34.10685,18.83021,Guest suite,Entire home/apt,2,1,1,1,Real Bed,432,1400,150,18,100,226,34,0.38,85.88,2922,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Smoke detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}","{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Smoke detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,31
